plate_name,gene_name,gene_length,aligned_length,alignment_rate,total_read_count,average_read_depth,number_of_SNP,number_of_INDEL
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML064C,738,736,0.9972899729,39407,53,60,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR382C,2685,251,0.0934823091248,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFR001W,615,598,0.972357723577,24598,41,27,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR158WB,5271,1004,0.190476190476,6024,6,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR077W,1017,1018,1.00098328417,320749,315,66816,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR067C,675,249,0.368888888889,249,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR161CD,5268,848,0.160971905847,6194,7,241,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL233W,2733,251,0.0918404683498,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR146C,1044,251,0.240421455939,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR161CC,1323,1323,1.0,79211,59,4495,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR296W,3870,594,0.153488372093,748,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL070C,801,801,1.0,157744,196,13152,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR057W,1629,251,0.154082259055,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR289C,1230,1229,0.99918699187,72539,59,177,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR227WB,5268,718,0.13629460896,4961,6,461,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR227WA,1323,575,0.434618291761,2878,5,42,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR029C,885,887,1.00225988701,170877,192,19724,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL031W,3105,251,0.0808373590982,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR071C,1029,1032,1.0029154519,180586,174,23886,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,smorf221545,45,45,1.0,4795,106,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR090C,3456,251,0.0726273148148,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR036C,462,464,1.00432900433,39562,85,1576,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR049C,633,159,0.251184834123,159,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR182W,1476,251,0.170054200542,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YCR019W,1092,251,0.229853479853,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML026C,842,500,0.593824228029,500,1,21,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR266C,453,43,0.0949227373068,43,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR038CB,5268,1082,0.205391040243,8652,7,289,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR038CA,1323,692,0.523053665911,2510,3,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR127C,4143,251,0.060584117789,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR041C,432,353,0.81712962963,4769,13,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML045WA,1323,950,0.718065003779,6771,7,159,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL143C,2532,251,0.099131121643,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFR030W,3108,419,0.134813384813,419,1,27,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR022W,534,536,1.00374531835,77635,144,3984,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR131W,2115,502,0.237352245863,502,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR328C,585,585,1.0,99590,170,4394,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR088C,1014,1007,0.993096646943,55471,55,79,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL199C,1605,499,0.310903426791,502,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR173W,1107,251,0.226738934056,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR196C,1245,1224,0.98313253012,73543,60,194,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML048W,1212,150,0.123762376238,148,0,0,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL085W,1005,929,0.924378109453,84587,91,305,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL047C,1413,421,0.297947629158,421,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL009WB,5409,1025,0.189498983176,7028,6,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL009WA,1242,1235,0.994363929147,22841,18,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL045W,1617,502,0.310451453309,502,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR157C,1089,1091,1.00183654729,167708,153,27084,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR068W,933,926,0.992497320472,72037,77,259,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR177W,648,651,1.00462962963,103169,158,6325,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL313C,2715,251,0.0924493554328,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR052W,1131,1134,1.00265251989,141181,124,13660,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR142C,1128,1131,1.00265957447,145719,128,13898,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR228C,2445,502,0.205316973415,502,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFL044C,906,498,0.549668874172,498,1,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR043C,1053,1055,1.00189933523,188825,178,28357,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR121W,591,571,0.966159052453,23845,41,30,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR012C,624,625,1.0016025641,76259,122,7588,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR153W,735,721,0.980952380952,36897,51,56,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL211W,546,540,0.989010989011,30622,56,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL021W,804,551,0.685323383085,753,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL177C,513,513,1.0,68567,133,3233,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR116W,456,195,0.427631578947,195,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR280C,4302,251,0.0583449558345,251,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR040W,897,892,0.994425863991,40662,45,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL167C,4515,422,0.0934662236988,502,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL005C,363,350,0.964187327824,9789,27,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR046C,1005,1000,0.995024875622,55220,55,100,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR545W,5391,334,0.0619551103691,1004,3,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR179C,489,489,1.0,48686,99,992,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL164C,1026,80,0.0779727095517,80,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL133C,522,503,0.963601532567,9789,19,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML039W,5268,813,0.154328018223,8514,10,376,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL116C,1014,1014,1.0,250507,247,37058,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR270C,1638,251,0.153235653236,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR155C,489,487,0.99591002045,25100,51,22,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR281C,861,855,0.993031358885,50953,59,122,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR041C,734,463,0.630790190736,502,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR070W,1473,45,0.030549898167,45,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL178W,1593,251,0.157564344005,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLL043W,2010,62,0.0308457711443,1919,30,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL009C,3117,42,0.0134744947064,42,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR185C,540,534,0.988888888889,22841,42,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR334W,4545,251,0.0552255225523,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAR042W,3567,730,0.204653770676,956,1,35,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL221C,1770,535,0.302259887006,753,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL086C,1047,251,0.239732569245,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL038C,1893,251,0.132593766508,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR051C,1239,1234,0.99596448749,92117,74,276,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL263C,945,48,0.0507936507937,48,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR027WB,5268,771,0.146355353075,5925,7,61,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR027WA,1323,376,0.284202569917,502,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR245W,1182,1173,0.992385786802,95631,81,218,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR060W,930,922,0.991397849462,58232,63,71,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR060W,825,829,1.00484848485,130373,157,9510,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER028C,1185,250,0.210970464135,250,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR253W,531,531,1.0,85024,160,3771,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR152C,771,748,0.970168612192,22841,30,40,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR042W,1236,1212,0.980582524272,89858,74,218,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER069W,2592,251,0.0968364197531,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER012W,597,598,1.00167504188,52671,88,1892,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR222W,1248,1244,0.996794871795,91364,73,269,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR114W,393,303,0.770992366412,1506,4,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR098C,2790,498,0.178494623656,498,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL019C,3852,251,0.0651609553479,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL064C,1443,498,0.345114345114,498,1,17,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR263W,606,588,0.970297029703,27861,47,11,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL134C,1131,1134,1.00265251989,230908,203,35314,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR061C,660,660,1.0,48192,73,72,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR039C,1614,251,0.15551425031,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR154W,3213,251,0.0781201369437,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR258C,430,431,1.0023255814,56044,130,1797,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR273C,2748,251,0.0913391557496,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR015W,435,429,0.986206896552,13303,31,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR050C,1017,1012,0.995083579154,43925,43,64,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL103WB,5268,348,0.0660592255125,502,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL103WA,1323,655,0.495086923658,1004,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR219W,1875,310,0.165333333333,1004,3,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR026C,1143,1147,1.00349956255,199317,173,22585,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL009W,780,502,0.64358974359,502,1,0,0
