Plate,Gene_name,gene_length,aligned_length,avg_read_depth,snp_count,indel_count
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL085W,1005,923,63,20,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YEL047C,1413,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHL009WB,5409,1032,5,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHL009WA,1242,1202,11,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL045W,1617,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR157C,1089,1090,71,89,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR068W,933,921,53,20,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR177W,648,650,78,32,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL313C,2715,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR052W,1131,1133,64,57,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR142C,1128,1129,65,66,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR228C,2445,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YFL044C,906,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR043C,1053,1053,94,124,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR121W,591,565,30,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR012C,624,625,67,56,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL211W,546,540,38,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YEL021W,804,551,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDL177C,513,513,70,38,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR040W,897,889,32,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL167C,4515,422,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL005C,363,350,20,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YFL020C,369,32,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR046C,1005,1000,39,11,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR545W,5391,334,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR179C,489,489,50,20,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL159W,1113,1095,30,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL133C,522,500,13,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL116C,1014,1015,124,141,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR270C,1638,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR155C,489,485,34,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR281C,861,842,42,14,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR041C,734,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR068W,1062,1050,60,12,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDL178W,1593,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLL043W,2010,57,17,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL161C,933,934,246,237,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR185C,540,534,31,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR334W,4545,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAR042W,3567,477,1,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL221C,1770,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL086C,1047,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHL038C,1893,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR051C,1239,1234,49,20,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL263C,945,48,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR027WB,5268,637,3,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR027WA,1323,292,2,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR245W,1182,1167,53,20,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR060W,930,922,43,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKR060W,825,829,78,63,4
scORFeome-HIP-01_S145_L001_R1_001_sorted,YER028C,1185,250,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR253W,531,531,77,33,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR152C,771,748,21,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR042W,1236,1220,54,25,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YER069W,2592,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YER012W,597,598,46,17,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR222W,1248,1241,50,21,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR114W,393,303,3,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR098C,2790,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDL019C,3852,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YEL064C,1443,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR263W,606,588,35,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL134C,1131,1133,105,136,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNR061C,660,659,51,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIR039C,1614,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR154W,3213,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR258C,430,431,68,24,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR273C,2748,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIR015W,435,425,21,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR050C,1017,1008,31,9,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL103WB,5268,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL103WA,1323,402,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR219W,1875,257,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR026C,1143,1145,90,118,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAL009W,780,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL177C,5277,468,12,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YFL036W,4056,251,1,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR240C,1353,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR388C,1131,418,13,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YCR104W,375,375,18,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR123W,678,127,1,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR315C,846,848,61,40,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL143W,477,474,88,14,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR308W,939,940,74,54,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR059C,3327,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL104C,1860,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL145C,1305,1300,59,23,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHL019C,1818,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL118W,696,695,50,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YEL077WA,483,223,4,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL058W,369,346,21,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL163C,3333,249,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR006W,1626,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR204W,2841,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBL079W,4509,251,1,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR181C,465,460,28,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR146C,2130,502,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR347W,966,965,69,23,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBL081W,1107,48,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YER156C,1017,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL188W,1245,502,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR244W,489,481,26,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR337W,861,861,56,58,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR261CC,1323,545,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL265W,1827,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR081C,2250,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL060CA,3315,960,5,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR208W,894,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHL050C,2094,350,7,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR280C,351,334,9,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML099C,2643,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL147C,711,713,150,94,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL280C,1317,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR007W,675,352,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR008C,702,681,41,11,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAR002CA,660,625,34,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR179C,2568,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL063C,984,965,50,9,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR351C,1494,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNR068C,819,759,13,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML058W,315,315,73,19,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAR061W,204,204,68,10,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL248C,1248,1219,47,14,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPR150W,522,281,3,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR035C,351,342,12,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR384W,2085,251,1,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML053C,639,633,21,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR255C,1266,1251,22,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR279W,1053,1048,33,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL331C,1131,440,22,74,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR271W,825,816,27,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR357C,369,359,10,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR135C,1368,182,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR294WA,360,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL257WB,5268,704,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL038W,639,185,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR250C,1338,1328,77,32,N/A
