plate_name,gene_name,gene_length,aligned_length,alignment_rate,average_read_depth,number_of_SNP,number_of_INDEL
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR019C,2100,251,0.11952381,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR027W,5268,383,0.072703113,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR047C,474,474,1,225,152,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR053C,1077,1054,0.978644383,46,18,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR035W,1113,1113,1,87,24,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL016W,1908,197,0.103249476,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR485C,2433,354,0.145499383,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER160C,5268,619,0.117501898,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL008W,624,621,0.995192308,43,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR229C,576,571,0.991319444,65,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR045C,333,320,0.960960961,22,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR089W,600,588,0.98,127,111,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR010CA,285,285,1,81,36,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL195W,2799,251,0.089674884,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL205W,2247,251,0.111704495,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR029W,5268,616,0.116932422,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL217W,981,982,1.001019368,119,247,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL007C,1059,221,0.208687441,0,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL077W,1587,417,0.262759924,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR163W,528,522,0.988636364,33,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR531W,1104,251,0.227355072,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAR010C,1323,627,0.473922902,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL010C,2001,502,0.250874563,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR233W,681,654,0.960352423,40,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR074C,438,172,0.392694064,0,1,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL214C,1623,502,0.309303758,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL165C,579,409,0.706390328,164,166,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL064C,1074,152,0.141527002,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL032W,2916,149,0.051097394,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR022C,591,585,0.989847716,54,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR209C,936,936,1,53,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL325C,2640,251,0.095075758,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL122C,1578,909,0.576045627,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR203C,1055,265,0.251184834,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR279W,390,208,0.533333333,155,81,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR215C,1083,1077,0.994459834,100,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR265C,1029,1031,1.001943635,163,258,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL044C,1377,249,0.180827887,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL082WA,4497,837,0.186124083,27,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR142WB,5268,1104,0.209567198,18,62,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL082W,873,869,0.995418099,32,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR050C,486,486,1,371,217,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL014W,375,349,0.930666667,40,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML064C,738,736,0.997289973,53,14,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR382C,2685,251,0.093482309,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFR001W,615,598,0.972357724,41,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR158WB,5271,1004,0.19047619,6,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR077W,1017,1018,1.000983284,315,621,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR067C,675,249,0.368888889,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR161CD,5268,848,0.160971906,7,24,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL233W,2733,251,0.091840468,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR146C,1044,251,0.240421456,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR161CC,1323,1323,1,59,140,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR296W,3870,594,0.153488372,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL070C,801,801,1,196,216,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR057W,1629,251,0.154082259,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR289C,1230,1229,0.999186992,59,26,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR227WB,5268,718,0.136294609,6,35,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR227WA,1323,575,0.434618292,5,11,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR029C,885,887,1.002259887,192,291,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL031W,3105,251,0.080837359,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR071C,1029,1032,1.002915452,174,309,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,smorf221545,45,45,1,106,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR090C,3456,251,0.072627315,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR036C,462,464,1.004329004,85,76,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR049C,633,159,0.251184834,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR182W,1476,251,0.170054201,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YCR019W,1092,251,0.22985348,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML026C,842,500,0.593824228,1,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR266C,453,43,0.094922737,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR038CB,5268,1082,0.20539104,7,31,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR038CA,1323,692,0.523053666,3,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR127C,4143,251,0.060584118,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR041C,432,353,0.81712963,13,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML045WA,1323,950,0.718065004,7,21,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL143C,2532,251,0.099131122,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFR030W,3108,419,0.134813385,1,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR022W,534,536,1.003745318,144,112,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR131W,2115,502,0.237352246,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR328C,585,585,1,170,131,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR088C,1014,1007,0.993096647,55,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL199C,1605,499,0.310903427,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR173W,1107,251,0.226738934,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR196C,1245,1224,0.98313253,60,27,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML048W,1212,150,0.123762376,0,0,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL085W,1005,929,0.924378109,91,30,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL047C,1413,421,0.297947629,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL009WB,5409,1025,0.189498983,6,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL009WA,1242,1235,0.994363929,18,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL045W,1617,502,0.310451453,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR157C,1089,1091,1.001836547,153,354,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR068W,933,926,0.99249732,77,27,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR177W,648,651,1.00462963,158,150,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL313C,2715,251,0.092449355,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR052W,1131,1134,1.00265252,124,226,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR142C,1128,1131,1.002659574,128,246,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR228C,2445,502,0.205316973,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFL044C,906,498,0.549668874,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR043C,1053,1055,1.001899335,178,341,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR121W,591,571,0.966159052,41,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR012C,624,625,1.001602564,122,166,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR153W,735,721,0.980952381,51,12,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL211W,546,540,0.989010989,56,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL021W,804,551,0.685323383,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL177C,513,513,1,133,110,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR116W,456,195,0.427631579,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR280C,4302,251,0.058344956,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR040W,897,892,0.994425864,45,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL167C,4515,422,0.093466224,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL005C,363,350,0.964187328,27,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR046C,1005,1000,0.995024876,55,17,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR545W,5391,334,0.06195511,3,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR179C,489,489,1,99,52,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL164C,1026,80,0.07797271,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL133C,522,503,0.963601533,19,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YML039W,5268,813,0.154328018,10,31,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL116C,1014,1014,1,247,422,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR270C,1638,251,0.153235653,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR155C,489,487,0.99591002,51,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR281C,861,855,0.993031359,59,19,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR041C,734,463,0.630790191,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR070W,1473,45,0.030549898,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL178W,1593,251,0.157564344,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLL043W,2010,62,0.030845771,30,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL009C,3117,42,0.013474495,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR185C,540,534,0.988888889,42,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR334W,4545,251,0.055225523,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAR042W,3567,730,0.204653771,1,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL221C,1770,535,0.302259887,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL086C,1047,251,0.239732569,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL038C,1893,251,0.132593767,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR051C,1239,1234,0.995964487,74,30,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL263C,945,48,0.050793651,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR027WB,5268,771,0.146355353,7,11,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR027WA,1323,376,0.28420257,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR245W,1182,1173,0.992385787,81,30,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR060W,930,922,0.991397849,63,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR060W,825,829,1.004848485,157,188,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER028C,1185,250,0.210970464,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR253W,531,531,1,160,115,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR152C,771,748,0.970168612,30,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR042W,1236,1212,0.980582524,74,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER069W,2592,251,0.09683642,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER012W,597,598,1.001675042,88,80,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR222W,1248,1244,0.996794872,73,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR114W,393,303,0.770992366,4,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR098C,2790,498,0.178494624,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDL019C,3852,251,0.065160955,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL064C,1443,498,0.345114345,1,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR263W,606,588,0.97029703,47,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL134C,1131,1134,1.00265252,203,391,3
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR061C,660,660,1,73,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR039C,1614,251,0.15551425,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR154W,3213,251,0.078120137,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR258C,430,431,1.002325581,130,78,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR273C,2748,251,0.091339156,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR015W,435,429,0.986206897,31,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR050C,1017,1012,0.995083579,43,12,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL103WB,5268,348,0.066059226,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL103WA,1323,655,0.495086924,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR219W,1875,310,0.165333333,3,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR026C,1143,1147,1.003499563,173,323,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL009W,780,502,0.643589744,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL177C,5277,510,0.096645821,13,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YFL036W,4056,500,0.123274162,1,11,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR010C,756,184,0.243386243,1,13,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL094W,1764,171,0.096938776,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR388C,1131,426,0.376657825,20,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YCR104W,375,375,1,36,17,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR123W,678,127,0.187315634,1,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR315C,846,848,1.002364066,115,140,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL143W,477,474,0.993710692,112,16,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR308W,939,940,1.001064963,146,229,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR059C,3327,251,0.075443342,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL104C,1860,376,0.202150538,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL145C,1305,1302,0.997701149,87,36,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHL019C,1818,251,0.138063806,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL118W,696,696,1,67,14,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL151C,756,140,0.185185185,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL077WA,483,328,0.679089027,3,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL058W,369,349,0.945799458,30,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL163C,3333,249,0.074707471,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR006W,1626,502,0.308733087,1,1,0
